연도,총배출량,순배출량,1. 에너지,1. 에너지_A. 연료연소,1. 에너지_A. 연료연소_1. 에너지산업,1. 에너지_A. 연료연소_1. 에너지산업_a. 공공전기 및 열 생산,1. 에너지_A. 연료연소_1. 에너지산업_b. 석유정제,1. 에너지_A. 연료연소_1. 에너지산업_c. 고체연료 제조 및 기타 에너지 산업,1. 에너지_A. 연료연소_2. 제조업 및 건설업,1. 에너지_A. 연료연소_2. 제조업 및 건설업_a. 철강,1. 에너지_A. 연료연소_2. 제조업 및 건설업_b. 비철금속,1. 에너지_A. 연료연소_2. 제조업 및 건설업_c. 화학,"1. 에너지_A. 연료연소_2. 제조업 및 건설업_d. 펄프, 제지 및 인쇄",1. 에너지_A. 연료연소_2. 제조업 및 건설업_e. 식음료품 가공 및 담배 제조,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_1. 비금속,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_2. 조립금속,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_3. 나무 및 목재,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_4. 건설,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_5. 섬유 및 가죽,1. 에너지_A. 연료연소_2. 제조업 및 건설업_f. 기타_6. 기타제조,1. 에너지_A. 연료연소_3. 수송,1. 에너지_A. 연료연소_3. 수송_a. 민간항공,1. 에너지_A. 연료연소_3. 수송_b. 도로수송,1. 에너지_A. 연료연소_3. 수송_c. 철도,1. 에너지_A. 연료연소_3. 수송_d. 해운,1. 에너지_A. 연료연소_3. 수송_e. 기타수송,1. 에너지_A. 연료연소_4. 기타,1. 에너지_A. 연료연소_4. 기타_a. 상업/공공,1. 에너지_A. 연료연소_4. 기타_b. 가정,1. 에너지_A. 연료연소_4. 기타_c. 농업/임업/어업,1. 에너지_A. 연료연소_5. 미분류,1. 에너지_B. 탈루,1. 에너지_B. 탈루_1. 고체연료,1. 에너지_B. 탈루_2. 석유 및 천연가스,1. 에너지_B. 탈루_2. 석유 및 천연가스_a. 석유,1. 에너지_B. 탈루_2. 석유 및 천연가스_b. 천연가스,2. 산업공정,2. 산업공정_A. 광물산업,2. 산업공정_A. 광물산업_1. 시멘트생산,2. 산업공정_A. 광물산업_2. 석회생산,2. 산업공정_A. 광물산업_3. 석회석 및 백운석 소비,2. 산업공정_A. 광물산업_4. 소다회 생산 및 소비,2. 산업공정_A. 광물산업_5. 아스팔트 루핑,2. 산업공정_A. 광물산업_6. 아스팔트 도로포장,2. 산업공정_B. 화학산업,2. 산업공정_C. 금속산업,2. 산업공정_C. 금속산업_1. 철강생산,2. 산업공정_C. 금속산업_2. 합금철 생산,2. 산업공정_C. 금속산업_3. 알루미늄 생산,2. 산업공정_C. 금속산업_4. 마그네슘 생산의 SF6 소비,2. 산업공정_D. 기타산업,2. 산업공정_E. 할로카본 및 육불화황 생산,2. 산업공정_E. 할로카본 및 육불화황 생산_1. 부산물 배출,2. 산업공정_E. 할로카본 및 육불화황 생산_2. 탈루 배출,2. 산업공정_F. 할로카본 및 육불화황 소비,2. 산업공정_F. 할로카본 및 육불화황 소비_1. 냉장 및 냉방,2. 산업공정_F. 할로카본 및 육불화황 소비_2. 발포제,2. 산업공정_F. 할로카본 및 육불화황 소비_3. 소화기,2. 산업공정_F. 할로카본 및 육불화황 소비_4. 에어로졸,2. 산업공정_F. 할로카본 및 육불화황 소비_5. 용매,2. 산업공정_F. 할로카본 및 육불화황 소비_6. 기타 용도의 ODS 대체물질 사용,2. 산업공정_F. 할로카본 및 육불화황 소비_7. 반도체 제조,2. 산업공정_F. 할로카본 및 육불화황 소비_8. 중전기기,2. 산업공정_F. 할로카본 및 육불화황 소비_9. 기타(잠재배출량),4. 농업,4. 농업_A. 장내발효,4. 농업_A. 장내발효_1. 소,4. 농업_A. 장내발효_2. 물소,4. 농업_A. 장내발효_3. 양(면양),4. 농업_A. 장내발효_4. 양(산양),4. 농업_A. 장내발효_5. 낙타 및 라마,4. 농업_A. 장내발효_6. 말,4. 농업_A. 장내발효_7. 노새 및 당나귀,4. 농업_A. 장내발효_8. 돼지,4. 농업_A. 장내발효_9. 가금류,4. 농업_A. 장내발효_10. 기타 가축(사슴),4. 농업_B. 가축분뇨처리,4. 농업_B. 가축분뇨처리_1. 소,4. 농업_B. 가축분뇨처리_2. 물소,4. 농업_B. 가축분뇨처리_3. 양(면양),4. 농업_B. 가축분뇨처리_4. 양(산양),4. 농업_B. 가축분뇨처리_5. 낙타 및 라마,4. 농업_B. 가축분뇨처리_6. 말,4. 농업_B. 가축분뇨처리_7. 노새 및 당나귀,4. 농업_B. 가축분뇨처리_8. 돼지,4. 농업_B. 가축분뇨처리_9. 가금류,4. 농업_B. 가축분뇨처리_10. 기타 가축(사슴),4. 농업_C. 벼재배,4. 농업_C. 벼재배_1. 관개,4. 농업_C. 벼재배_2. 천수답,4. 농업_D. 농경지토양,4. 농업_D. 농경지토양_1. 직접배출,"4. 농업_D. 농경지토양_2. 목장, 방목구역, 분료(거름)",4. 농업_D. 농경지토양_3. 간접배출,4. 농업_E. 사바나 소각,4. 농업_F. 작물잔사소각,4. 농업_F. 작물잔사소각_1. 곡류,4. 농업_F. 작물잔사소각_2. 두류(콩),4. 농업_F. 작물잔사소각_3. 근채류,4. 농업_F. 작물잔사소각_4. 사탕수수,4. 농업_F. 작물잔사소각_5. 기타,5. LULUCF,5. LULUCF_A. 산림지,5. LULUCF_A. 산림지_1. 산림지로 유지된 산림지,5. LULUCF_A. 산림지_2. 타토지에서 전용된 산림지,5. LULUCF_A. 산림지_3. 산림지에서 질소 시비로 인한 N2O 배출,5. LULUCF_A. 산림지_4. 산림지에서 배수로 인한 Non-CO2 배출,5. LULUCF_A. 산림지_5. 산림지에서 바이오매스 연소에 의한 배출,5. LULUCF_B. 농경지,5. LULUCF_B. 농경지_1. 농경지로 유지된 농경지,5. LULUCF_B. 농경지_2. 타토지에서 전용된 농경지,5. LULUCF_B. 농경지_3. 농경지로의 전용에 따른 N2O 배출,5. LULUCF_B. 농경지_4. 농경지에서 농업용 석회시용으로 인한 CO2 배출,5. LULUCF_B. 농경지_5. 농경지에서 바이오매스 연소에 의한 배출,5. LULUCF_C. 초지,5. LULUCF_C. 초지_1. 초지로 유지된 초지,5. LULUCF_C. 초지_2. 타토지에서 전용된 초지,5. LULUCF_C. 초지_3. 초지에서 농업용 석회시용으로 인한 CO2 배출,5. LULUCF_C. 초지_4. 초지에서 바이오매스 연소에 의한 배출,5. LULUCF_D. 습지,5. LULUCF_D. 습지_1. 습지로 유지된 습지,5. LULUCF_D. 습지_2. 타토지에서 전용된 습지,5. LULUCF_D. 습지_3. 습지에서 배수로 인한 Non-CO2 배출,5. LULUCF_D. 습지_4. 습지에서 바이오매스 연소에 의한 배출,5. LULUCF_E. 정주지,5. LULUCF_F. 기타토지,6. 폐기물,6. 폐기물_A. 폐기물매립,6. 폐기물_A. 폐기물매립_1. 관리형 매립,6. 폐기물_A. 폐기물매립_2. 비관리형 매립,6. 폐기물_B. 하폐수처리,6. 폐기물_B. 하폐수처리_1. 폐수처리,6. 폐기물_B. 하폐수처리_2. 하수처리,6. 폐기물_C. 폐기물소각,6. 폐기물_D. 기타
1990,292.19035,254.40396,240.39884,235.28657,48.4424,36.66644,11.31328,0.46267,76.55812,30.92907,0.54426,12.2897,2.78577,3.25498,26.75434,13.7853,2.55681,0.21859,1.58074,5.1132,3.49971,35.5056,0.83704,30.90193,0.87654,2.4412,0.44889,74.599,20.27129,49.48143,4.84628,0.18147,5.11226,4.83275,0.27951,0.05573,0.22379,20.44437,18.82269,15.87303,0.26104,2.45858,0.23003,NE,NE,0.37005,0.09543,0.0708,IE,0.02463,0,NA,0.9828,0.9828,"NO,NE",0.1734,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE",NO,0.1734,0,20.9717,2.96021,2.7967,NO,0.00035,0.01776,NO,0.00164,NO,0.13898,NE,0.00477,2.84573,1.82022,NO,0.00039,0.06631,NO,0.0018,NO,0.59021,0.34899,0.0178,10.53299,10.48076,0.05222,4.60555,2.42717,NE,2.17838,NO,0.02723,0.00591,0.00766,NO,NO,0.01366,-37.7864,-38.22651,-38.22651,"IE, NE, NO",NE,NO,"NE,NO",0.67943,,0.32318,0.27903,0.07722,"NE,NO",-0.53571,"NE, NO",-0.53571,NO,"NE,NO",0.2964,0.20978,0.08662,"NE,NO","NE,NO",NE,NE,10.37545,7.49183,5.34702,2.14481,1.45412,0.06277,1.39135,1.4295,NA
1991,315.4598,281.90807,258.23953,253.68082,54.90398,42.79822,11.6035,0.50227,88.00043,35.74341,0.55608,14.80893,2.84198,3.32971,30.72033,16.01364,3.15014,0.35185,1.5537,4.89733,4.75366,38.60727,0.91086,35.44752,0.89179,1.03449,0.32262,67.51438,15.60756,46.59397,5.31285,4.65476,4.55871,4.22673,0.33198,0.07375,0.25823,24.35015,22.4818,18.96226,0.3022,2.98964,0.2277,NE,NE,0.65897,0.0779,0.0779,IE,NO,0,NA,0.79888,0.79888,"NO,NE",0.33261,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE",NO,0.33261,0,21.23836,3.12477,2.9404,NO,0.00035,0.02503,NO,0.00189,NO,0.1515,NE,0.0056,3.06068,1.91279,NO,0.0004,0.09346,NO,0.00206,NO,0.64338,0.38771,0.0209,10.37056,10.31926,0.0513,4.65859,2.46103,NE,2.19756,NO,0.02377,0.00504,0.00697,NO,NO,0.01176,-33.55173,-34.16424,-34.16424,"IE, NE, NO",NE,NO,"NE,NO",0.90563,,0.59338,0.2398,0.07245,"NE,NO",-0.56789,"NE, NO",-0.56789,NO,"NE,NO",0.27477,0.19515,0.07962,"NE,NO","NE,NO",NE,NE,11.63176,8.20338,5.95659,2.24679,1.50811,0.08138,1.42673,1.92027,NA
1992,343.48157,310.85872,279.14705,275.35736,62.51509,50.25213,11.66805,0.5949,97.95906,38.9012,0.42158,19.81712,3.28923,3.64317,31.88675,17.54855,3.3721,0.23493,1.34962,4.69853,4.68302,43.97141,1.06004,40.52711,0.90697,1.13766,0.33962,67.97096,17.41615,44.52831,6.0265,2.94085,3.7897,3.35966,0.43004,0.09242,0.33762,29.95439,24.88048,21.12886,0.327,3.16704,0.25757,NE,NE,2.76616,0.08484,0.08484,IE,NO,0,NA,1.87106,1.87106,"NO,NE",0.35185,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",NO,0.34541,0.00643,21.64067,3.36165,3.14674,NO,0.00037,0.03706,NO,0.002,NO,0.16902,NE,0.00646,3.32506,2.04564,NO,0.00042,0.13837,NO,0.00219,NO,0.71776,0.39657,0.02411,10.07929,10.02955,0.04973,4.8529,2.57613,NE,2.27678,NO,0.02177,0.00425,0.00618,NO,NO,0.01134,-32.62285,-33.54219,-33.54219,"IE, NE, NO",NE,NO,"NE,NO",1.18022,,0.92889,0.18602,0.0653,"NE,NO",-0.54887,"NE, NO",-0.54887,NO,"NE,NO",0.28799,0.20489,0.0831,"NE,NO","NE,NO",NE,NE,12.73945,8.74538,6.49729,2.24809,1.61254,0.10642,1.50613,2.38153,NA
1993,378.67417,347.85277,308.65458,305.49502,68.90981,56.48352,11.88438,0.54191,108.05126,43.5783,0.4095,21.72952,3.58775,3.7176,35.02861,20.05141,3.85105,0.2297,1.34145,4.86004,4.69496,55.56203,1.18772,48.83949,0.97803,4.31762,0.23917,69.82431,19.67308,43.35531,6.79592,3.14761,3.15956,2.64051,0.51905,0.10006,0.41899,34.42164,28.96825,24.70049,0.36193,3.65485,0.25098,NE,NE,2.83971,0.10753,0.10753,IE,NO,0,NA,2.106,2.106,"NO,NE",0.40014,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",NO,0.38731,0.01283,22.10838,3.73835,3.50089,NO,0.00033,0.04918,NO,0.00203,NO,0.17861,NE,0.00731,3.63765,2.27519,NO,0.00037,0.18362,NO,0.00221,NO,0.75849,0.39046,0.0273,9.78487,9.73665,0.04822,4.92774,2.62711,NE,2.30064,NO,0.01976,0.00388,0.00556,NO,NO,0.01032,-30.8214,-31.97137,-31.97137,"IE, NE, NO",NE,NO,"NE,NO",1.41283,,1.18718,0.13985,0.0858,"NE,NO",-0.54334,"NE, NO",-0.54334,NO,"NE,NO",0.28049,0.19761,0.08288,"NE,NO","NE,NO",NE,NE,13.48957,9.15985,6.97282,2.18703,1.42808,0.11788,1.3102,2.90164,NA
1994,403.69003,370.77755,327.98798,325.25489,83.78328,71.18817,11.95346,0.64164,112.79721,42.776,0.52778,24.10687,4.00692,4.02656,37.35307,21.70423,3.97243,0.33712,1.24355,4.98526,5.11049,57.57743,1.21869,51.42337,0.9282,3.67642,0.33076,68.25939,20.1745,40.30493,7.77997,2.83758,2.7331,2.07659,0.6565,0.10283,0.55368,38.74212,31.13492,26.83997,0.51778,3.48686,0.2903,NE,NE,3.10445,0.12091,0.12091,IE,NO,0,NA,2.26699,2.26699,"NO,NE",2.11485,"NO,NE","NO,NE","NO,NE","NO,NE","NO,NE","NO,NE",NO,0.54394,1.57091,22.55407,3.96787,3.71377,NO,0.00026,0.05817,NO,0.00204,NO,0.18534,NE,0.00828,3.85105,2.41298,NO,0.0003,0.21718,NO,0.00223,NO,0.78708,0.40038,0.0309,9.49491,9.44819,0.04673,5.22122,2.79476,NE,2.42646,NO,0.01902,0.00348,0.00517,NO,NO,0.01038,-32.91249,-34.37777,-34.37777,"IE, NE, NO",NE,NO,"NE,NO",1.72203,,1.55715,0.07432,0.09057,"NE,NO",-0.54216,"NE, NO",-0.54216,NO,"NE,NO",0.28541,0.20224,0.08317,"NE,NO","NE,NO",NE,NE,14.40587,9.55244,7.39216,2.16029,1.77355,0.13851,1.63504,3.06553,0.01435
1995,433.89237,402.96963,352.17075,349.7833,91.87983,78.88317,12.36664,0.63002,115.81032,44.89878,0.66136,23.34358,4.10204,4.30163,38.50293,21.85155,4.30537,0.26765,1.20291,5.20113,5.67432,64.73879,1.34359,58.53359,0.93807,3.63166,0.29187,74.54281,22.40342,43.72551,8.41387,2.81156,2.38745,1.60558,0.78186,0.11391,0.66795,43.14629,32.71307,28.10457,0.64826,3.65739,0.30285,NE,NE,3.64124,0.1378,0.1378,IE,NO,0,NA,2.60957,2.60957,"NO,NE",4.04461,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",NO,1.5061,2.53851,22.82065,4.11614,3.84392,NO,0.00018,0.06446,NO,0.00214,NO,0.19612,NE,0.00933,4.05344,2.49661,NO,0.0002,0.24065,NO,0.00233,NO,0.83284,0.44597,0.03484,9.22865,9.18325,0.04541,5.40224,2.90099,NE,2.50125,NO,0.02017,0.00346,0.00497,NO,NO,0.01174,-30.92274,-33.10437,-33.10437,"IE, NE, NO",NE,NO,"NE,NO",2.43828,,2.28216,0.07509,0.08103,"NE,NO",-0.55591,"NE, NO",-0.55591,NO,"NE,NO",0.29926,0.20246,0.0968,"NE,NO","NE,NO",NE,NE,15.75468,9.7959,7.69047,2.10544,1.78412,0.17735,1.60676,4.17294,0.00172
1996,470.46321,436.10551,385.81506,383.41874,109.19946,95.53848,12.83846,0.82252,124.01285,47.43879,0.45506,25.20451,4.44873,4.34347,42.12228,19.04228,4.95521,0.28657,1.19525,5.07829,11.56468,68.81466,1.39323,64.13796,0.9273,1.96184,0.39433,78.32362,22.4133,46.46426,9.44606,3.06816,2.39632,1.38973,1.00659,0.13078,0.8758,44.77005,32.97594,28.3085,0.64463,3.71448,0.30832,NE,NE,4.12976,0.14572,0.14572,IE,NO,0,NA,2.85948,2.85948,"NO,NE",4.65916,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",NO,1.15222,3.50694,23.33373,4.42552,4.13985,NO,0.00017,0.06856,NO,0.00234,NO,0.2041,NE,0.01051,4.31284,2.68747,NO,0.00019,0.25596,NO,0.00255,NO,0.86671,0.46071,0.03924,8.99777,8.95353,0.04424,5.57543,3.00329,NE,2.57214,NO,0.02217,0.00345,0.00486,NO,NO,0.01386,-34.35771,-37.03367,-37.03367,"IE, NE, NO",NE,NO,"NE,NO",2.94746,,2.80768,0.05827,0.08151,"NE,NO",-0.56828,"NE, NO",-0.56828,NO,"NE,NO",0.29679,0.20461,0.09218,"NE,NO","NE,NO",NE,NE,16.54437,10.09936,8.05706,2.0423,1.711,0.10608,1.60492,4.72871,0.00529
1997,502.11545,463.07096,411.87085,409.39473,122.56813,107.53724,13.28302,1.74788,129.60176,47.94407,0.4013,28.72925,4.46544,3.99523,44.06647,20.96978,5.78435,0.28558,1.36717,5.16236,10.49723,74.20348,1.59693,68.7055,0.9235,2.58268,0.39487,80.10091,25.00035,44.66366,10.43691,2.92045,2.47613,1.2665,1.20962,0.15822,1.05141,49.64263,34.15722,29.32037,0.76168,3.77128,0.30389,NE,NE,4.9488,0.16663,0.16663,IE,NO,0,NA,3.25541,3.25541,"NO,NE",7.11457,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",2.02882,1.28751,3.79825,23.34175,4.45993,4.16254,NO,0.00017,0.06858,NO,0.00259,NO,0.21417,NE,0.01188,4.38723,2.70173,NO,0.00019,0.25605,NO,0.00283,NO,0.90951,0.47257,0.04435,8.86905,8.82547,0.04359,5.60228,3.02052,NE,2.58176,NO,0.02326,0.00335,0.00446,NO,NO,0.01545,-39.0445,-41.9484,-41.9484,"IE, NE, NO",NE,NO,"NE,NO",3.16546,,3.01143,0.05775,0.09629,"NE,NO",-0.58,"NE, NO",-0.58,NO,"NE,NO",0.31845,0.22423,0.09422,"NE,NO","NE,NO",NE,NE,17.26021,10.43577,8.44232,1.99344,1.5677,0.10109,1.46661,5.24099,0.01575
1998,431.53181,383.93248,351.65435,349.30298,106.44723,91.26609,13.24345,1.93769,120.27075,48.25959,0.36814,26.11656,3.79587,3.3992,38.33139,15.97633,5.87078,0.2061,1.0152,5.701,9.56198,57.55229,1.35983,52.61174,0.90937,2.20424,0.4671,62.38002,19.37839,33.77229,9.22934,2.65269,2.35137,1.22412,1.12725,0.14918,0.97808,40.76422,27.45407,22.87895,0.77345,3.56697,0.2347,NE,NE,5.61359,0.13713,0.13713,IE,NO,0,NA,1.94314,1.94314,"NO,NE",5.61629,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",1.9466,0.79295,2.87673,23.06685,4.29216,3.97428,NO,0.00015,0.0636,NO,0.00287,NO,0.23807,NE,0.01318,4.33149,2.58077,NO,0.00017,0.23747,NO,0.00314,NO,1.01098,0.44976,0.0492,8.88559,8.84194,0.04365,5.53557,2.98133,NE,2.55424,NO,0.02204,0.00292,0.00424,NO,NO,0.01488,-47.59933,-50.61611,-50.61611,"IE, NE, NO",NE,NO,"NE,NO",3.27062,,3.09434,0.06616,0.11011,"NE,NO",-0.58183,"NE, NO",-0.58183,NO,"NE,NO",0.328,0.23308,0.09491,"NE,NO","NE,NO",NE,NE,16.04639,9.54774,7.6075,1.94025,1.57991,0.07989,1.50002,4.90359,0.01514
1999,469.51896,414.15386,382.29076,379.75505,116.31999,100.77425,13.67874,1.867,125.75473,50.24341,0.47677,25.79766,4.16885,3.1368,41.93123,16.64336,7.00675,0.25455,1.05344,6.1972,10.77593,62.57238,1.30948,57.99816,0.94631,2.05857,0.25987,72.38415,22.55288,39.97027,9.861,2.7238,2.53571,1.17808,1.35763,0.15835,1.19928,48.42226,28.45842,23.71944,0.82736,3.63347,0.27815,NE,NE,6.63879,0.14156,0.14156,IE,NO,0,NA,3.64151,3.64151,"NO,NE",9.54198,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",2.52015,2.69571,4.32612,21.94191,3.71391,3.39945,NO,0.00013,0.05766,NO,0.00308,NO,0.23938,NE,0.0142,4.00645,2.20975,NO,0.00015,0.21529,NO,0.00336,NO,1.01655,0.50832,0.05303,8.92059,8.8768,0.04379,5.27909,2.83208,NE,2.44702,NO,0.02187,0.00265,0.0038,NO,NO,0.01542,-55.3651,-58.3509,-58.3509,"IE, NE, NO",NE,NO,"NE,NO",3.24915,,3.07482,0.06851,0.10582,"NE,NO",-0.58123,"NE, NO",-0.58123,NO,"NE,NO",0.31786,0.22686,0.09101,"NE,NO","NE,NO",NE,NE,16.86403,9.52011,7.65075,1.86936,1.56168,0.09016,1.47152,5.7279,0.05434
2000,502.86587,444.46404,411.79671,409.12726,136.32876,120.41929,13.79102,2.11844,130.64493,52.15637,1.17691,26.74871,3.82255,3.15121,43.58919,17.19902,6.1103,0.25499,1.3892,5.89859,12.73709,69.91778,1.41781,64.48898,0.96964,2.75005,0.29129,69.83473,17.87627,41.62746,10.33099,2.40107,2.66946,1.16489,1.50457,0.16172,1.34284,50.86827,29.66441,24.75589,0.81516,3.80786,0.28549,NE,NE,7.53965,0.1477,0.1477,IE,NO,0,NA,3.23622,3.23622,"NO,NE",10.28029,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",2.96427,2.21733,5.09868,21.36879,3.3769,3.04937,NO,0.00011,0.05226,NO,0.00345,NO,0.25672,NE,0.015,3.87121,1.98453,NO,0.00013,0.1951,NO,0.00377,NO,1.09018,0.54151,0.05599,8.94565,8.90174,0.04391,5.15278,2.76072,NE,2.39206,NO,0.02226,0.00249,0.00382,NO,NO,0.01594,-58.40182,-61.38017,-61.38017,"IE, NE, NO",NE,NO,"NE,NO",3.23325,,3.06094,0.06839,0.10391,"NE,NO",-0.58739,"NE, NO",-0.58739,NO,"NE,NO",0.33249,0.24031,0.09218,"NE,NO","NE,NO",NE,NE,18.8321,9.54304,7.75026,1.79278,1.5463,0.09016,1.45614,7.63629,0.10647
2001,516.14348,458.28923,426.16049,423.45689,147.70194,131.62124,13.72361,2.35709,131.29828,51.99108,1.111,27.2611,3.51589,2.88068,44.53854,17.52736,5.61919,0.23593,1.31079,5.60877,14.23651,73.07073,1.30902,67.52975,0.97926,2.49789,0.75482,68.27752,15.75085,41.52536,11.00132,3.10841,2.7036,1.07142,1.63219,0.15588,1.4763,49.38245,30.75932,25.66529,0.79884,3.99463,0.30057,NE,NE,7.91658,0.14361,0.14361,IE,NO,0,NA,0.55692,0.55692,"NO,NE",10.00602,"NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE","NO,NE,IE",2.72946,2.06526,5.2113,20.8683,3.13811,2.80119,NO,0.0001,0.04882,NO,0.00396,NO,0.26838,NE,0.01565,3.77535,1.82486,NO,0.00011,0.18228,NO,0.00433,NO,1.13972,0.56562,0.05845,8.96291,8.9189,0.04401,4.96833,2.6599,NE,2.30843,NO,0.02359,0.00279,0.00361,NO,NO,0.01719,-57.85425,-60.93794,-60.93794,"IE, NE, NO",NE,NO,"NE,NO",3.31118,,3.12653,0.06167,0.12298,"NE,NO",-0.56868,"NE, NO",-0.56868,NO,"NE,NO",0.34119,0.24766,0.09353,"NE,NO","NE,NO",NE,NE,19.73224,9.98526,8.27767,1.70759,1.57075,0.10042,1.47033,8.07121,0.10502
